72747 INL Int.Falls Observations at 12Z 04 Dec 2007
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    201                                                               
  979.0    361  -14.1  -15.1     92   1.21     80      5  260.6  264.0  260.8
  975.0    392  -13.5  -16.5     78   1.09     83      7  261.5  264.6  261.7
  953.0    566  -14.7  -16.1     89   1.15     96     15  262.0  265.2  262.2
  947.5    610  -13.8  -16.1     83   1.16    100     17  263.3  266.6  263.5
  943.0    647  -13.1  -16.1     78   1.16    101     17  264.4  267.7  264.6
  925.0    794  -13.7  -17.2     75   1.08    105     17  265.3  268.4  265.5
  917.0    860  -14.1  -17.9     73   1.03    108     16  265.5  268.5  265.7
  910.5    914  -13.7  -20.5     57   0.83    110     16  266.5  268.9  266.6
  910.0    918  -13.7  -20.7     56   0.81    110     16  266.5  268.9  266.7
  874.8   1219  -13.1  -20.1     56   0.89    115     10  270.2  272.9  270.4
  856.0   1384  -12.7  -19.7     56   0.94    107      6  272.3  275.1  272.4
  850.0   1438  -12.9  -19.9     56   0.93    105      5  272.6  275.4  272.8
  807.5   1829  -13.3  -21.2     51   0.87    345      3  276.2  278.9  276.4
  806.0   1843  -13.3  -21.3     51   0.87    344      3  276.4  279.0  276.5
  802.0   1881  -13.1  -19.1     61   1.06    341      4  277.0  280.2  277.1
  775.7   2134  -13.9  -18.9     66   1.11    320      9  278.7  282.1  278.9
  771.0   2181  -14.1  -18.9     67   1.12    321     10  279.0  282.4  279.2
  759.0   2300  -13.9  -24.9     39   0.67    323     12  280.5  282.6  280.6
  745.2   2438  -14.8  -24.1     45   0.73    325     14  281.0  283.3  281.1
  715.7   2743  -16.9  -22.4     62   0.89    320     18  282.0  284.7  282.1
  710.0   2803  -17.3  -22.1     66   0.92    318     19  282.1  285.0  282.3
  708.0   2824  -15.9  -19.3     75   1.18    318     19  283.9  287.6  284.1
  700.0   2910  -15.7  -18.2     81   1.31    315     21  285.1  289.1  285.3
  687.2   3048  -16.4  -18.9     80   1.25    315     23  285.8  289.7  286.1
  633.2   3658  -19.3  -22.3     77   1.02    315     30  289.2  292.5  289.4
  613.0   3899  -20.5  -23.6     76   0.94    315     36  290.6  293.6  290.7
  595.0   4120  -19.1  -21.5     81   1.16    315     42  294.7  298.4  294.9
  583.2   4267  -19.6  -22.1     81   1.12    315     46  295.7  299.4  295.9
  536.8   4877  -21.8  -24.6     78   0.98    320     54  300.2  303.5  300.4
  500.0   5400  -23.7  -26.7     76   0.87    315     67  304.1  307.0  304.2
  494.2   5486  -23.7  -26.6     77   0.89    315     73  305.1  308.1  305.3
  477.0   5745  -23.7  -26.2     80   0.95    313     72  308.2  311.5  308.4
  454.3   6096  -26.4  -29.1     78   0.76    310     71  309.2  311.9  309.3
  400.0   7010  -33.3  -36.7     71   0.41    310     71  311.6  313.1  311.7
  365.6   7620  -38.4  -41.7     71   0.27    305     79  312.9  313.9  313.0
  300.0   8960  -49.7  -52.8     70   0.10    310     89  315.2  315.6  315.2
  291.6   9144  -51.4  -54.5     69   0.08    310     89  315.4  315.7  315.4
  289.0   9202  -51.9  -55.1     68   0.08    309     91  315.4  315.7  315.4
  278.0   9453  -52.5  -55.6     69   0.07    305    100  318.1  318.4  318.1
  250.0  10140  -50.1  -59.1     34   0.05    310    122  331.4  331.7  331.5
  247.0  10219  -50.0  -59.9     30   0.05    310    123  332.7  332.9  332.7
  241.6  10363  -49.9  -61.4     24   0.04    310    123  335.1  335.2  335.1
  237.0  10490  -49.7  -62.7     20   0.04    310    122  337.1  337.3  337.2
  230.6  10668  -49.9  -63.9     18   0.03    310    121  339.4  339.6  339.4
  200.0  11600  -51.1  -70.1      9   0.02    320    107  351.7  351.8  351.7
  174.0  12505  -50.5  -72.5      6   0.01    318     99  366.9  367.0  366.9
  151.2  13411  -55.6  -75.7      6   0.01    315     90  373.2  373.3  373.2
  150.0  13460  -55.9  -75.9      6   0.01    310     92  373.6  373.6  373.6
  143.0  13763  -57.7  -77.7      6   0.01    311     93  375.6  375.6  375.6
  132.0  14270  -56.3  -76.3      6   0.01    312     93  386.7  386.8  386.8
  113.1  15240  -59.4  -78.3      7   0.01    315     95  398.4  398.5  398.4
  100.0  16010  -61.9  -79.9      7   0.01    320     88  407.9  407.9  407.9
   97.7  16154  -62.0  -80.4      7   0.01    320     88  410.3  410.4  410.3
   93.3  16439  -62.3  -81.3      6   0.01    320     84  415.2  415.3  415.2
   93.0  16459  -62.3  -81.3      6   0.01    320     84  415.5  415.6  415.5
   81.4  17280  -64.1  -81.1      8   0.01    322     70  428.1  428.1  428.1
   75.0  17788  -59.1  -78.1      7   0.01    324     62  448.7  448.8  448.7
   70.0  18220  -60.1  -78.1      8   0.01    325     55  455.5  455.6  455.5
   52.3  20038  -60.1  -78.1      8   0.02    315     33  495.0  495.1  495.0
   51.6  20117  -59.4  -77.7      8   0.02    315     32  498.4  498.5  498.4
   50.0  20320  -57.7  -76.7      7   0.02    315     33  507.1  507.2  507.1
   44.6  21046  -54.5  -76.5      5   0.03    315     45  531.7  531.9  531.7
   42.6  21336  -54.8  -76.6      5   0.03    315     50  537.9  538.1  537.9
   40.6  21641  -55.1  -76.6      5   0.03    315     52  544.5  544.8  544.5
   35.2  22555  -56.0  -76.9      6   0.03    325     31  564.9  565.2  564.9
   30.0  23570  -57.1  -77.1      6   0.04    320     48  588.4  588.7  588.4
   29.1  23774  -56.8  -77.0      6   0.04    320     49  594.6  594.9  594.6
   22.9  25298  -54.7  -76.5      5   0.05    320     24  642.9  643.4  642.9
   22.3  25457  -54.5  -76.5      5   0.05    320     26  648.1  648.6  648.1
   20.0  26150  -56.7  -78.7      5   0.04    320     35  661.9  662.3  661.9
   18.9  26518  -57.7  -79.7      4   0.04    320     38  669.9  670.2  669.9
   17.4  27028  -59.1  -81.1      4   0.03    328     35  681.1  681.4  681.1
   16.3  27432  -58.6  -80.8      4   0.04    335     33  695.3  695.6  695.3
   14.8  28042  -57.9  -80.2      4   0.04    340     33  717.2  717.7  717.2
   12.8  28956  -56.7  -79.5      4   0.06    335     47  751.4  752.0  751.4
   11.5  29644  -55.9  -78.9      4   0.07    335     38  778.1  778.9  778.1
   11.1  29870  -56.4  -79.1      4   0.07    335     35  784.4  785.2  784.5
   10.1  30480  -57.6  -79.7      4   0.07    345     21  801.7  802.5  801.7
   10.0  30530  -57.7  -79.7      4   0.07    345     20  803.1  803.9  803.1
    9.2  31090  -58.2  -79.0      5   0.09      5     11  822.0  823.0  822.0
    8.6  31479  -58.5  -78.5      6   0.10                835.4  836.6  835.4
