72747 INL Int.Falls Observations at 00Z 08 Feb 2010
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    168                                                               
  976.0    361   -5.1   -7.8     81   2.19    120      4  269.9  276.0  270.3
  969.0    417   -5.7   -8.4     81   2.10    121      7  269.9  275.8  270.2
  945.2    610   -7.3  -10.1     81   1.89    125     17  270.2  275.5  270.5
  925.0    777   -8.7  -11.5     80   1.72    125     22  270.4  275.3  270.7
  908.6    914   -9.8  -12.6     80   1.61    130     25  270.7  275.3  271.0
  873.2   1219  -12.1  -15.0     79   1.38    140     28  271.4  275.3  271.6
  850.0   1425  -13.7  -16.6     79   1.23    155     27  271.8  275.4  272.0
  839.0   1524  -14.4  -17.3     79   1.18    170     24  272.0  275.5  272.2
  832.0   1587  -14.9  -17.8     79   1.14    168     22  272.2  275.5  272.4
  816.0   1734  -14.7  -16.9     83   1.25    163     18  273.9  277.6  274.1
  805.8   1829  -15.1  -17.3     83   1.22    160     15  274.4  278.0  274.6
  773.6   2134  -16.6  -18.7     83   1.13    155     13  276.1  279.5  276.3
  742.9   2438  -18.0  -20.1     83   1.05    145     12  277.8  280.9  277.9
  713.3   2743  -19.4  -21.6     83   0.96    155     13  279.4  282.4  279.6
  700.0   2884  -20.1  -22.2     83   0.93    155     13  280.2  283.1  280.4
  656.8   3353  -22.0  -24.1     83   0.83    145     11  283.2  285.8  283.4
  630.1   3658  -23.2  -25.4     82   0.77    160     15  285.2  287.7  285.3
  628.0   3683  -23.3  -25.5     82   0.77    161     15  285.4  287.8  285.5
  581.0   4248  -27.1  -29.9     77   0.55    184     17  287.3  289.1  287.4
  579.4   4267  -27.3  -30.1     77   0.55    185     17  287.4  289.2  287.5
  531.6   4877  -32.3  -35.5     73   0.35    185     15  288.5  289.7  288.6
  500.0   5310  -35.9  -39.3     71   0.25    195     17  289.2  290.1  289.3
  487.3   5486  -37.4  -41.1     68   0.22    195     18  289.5  290.3  289.6
  449.0   6047  -42.1  -46.8     60   0.13    213     20  290.4  290.9  290.5
  445.8   6096  -42.3  -47.0     60   0.13    215     20  290.8  291.2  290.8
  430.0   6339  -43.3  -47.8     61   0.12    227     22  292.5  293.0  292.6
  426.0   6401  -43.9  -48.5     60   0.11    230     22  292.5  292.9  292.5
  410.0   6657  -46.5  -51.3     58   0.08    222     21  292.4  292.7  292.4
  406.9   6706  -46.8  -51.7     57   0.08    220     21  292.6  292.9  292.7
  400.0   6820  -47.5  -52.5     56   0.07    220     27  293.2  293.5  293.2
  388.6   7010  -48.9  -53.9     56   0.06    225     34  293.8  294.1  293.9
  380.0   7158  -49.9  -54.9     55   0.06    227     32  294.3  294.6  294.4
  355.0   7602  -51.7  -58.7     43   0.04    235     26  297.7  297.9  297.7
  354.0   7620  -51.6  -58.8     42   0.04    235     26  298.0  298.2  298.0
  349.0   7713  -51.3  -59.3     38   0.04    238     25  299.7  299.8  299.7
  337.8   7925  -52.4  -60.8     35   0.03    245     23  301.1  301.2  301.1
  324.0   8194  -53.7  -62.7     32   0.03    240     18  302.8  302.9  302.8
  322.2   8230  -53.7  -62.8     32   0.03    235     18  303.3  303.4  303.3
  300.0   8690  -53.5  -63.5     28   0.02    260     19  309.8  309.9  309.8
  295.0   8798  -53.7  -63.7     28   0.02    262     17  311.0  311.1  311.0
  279.6   9144  -52.2  -62.9     26   0.03    270     12  318.0  318.1  318.0
  275.0   9252  -51.7  -62.7     26   0.03    266     13  320.2  320.4  320.2
  268.0   9419  -52.3  -63.3     25   0.03    261     15  321.7  321.9  321.7
  266.8   9449  -52.2  -63.2     25   0.03    260     15  322.2  322.4  322.2
  258.0   9665  -51.9  -62.9     25   0.03    264     16  325.8  326.0  325.8
  254.5   9754  -51.5  -62.9     24   0.03    265     16  327.7  327.9  327.8
  250.0   9870  -50.9  -62.9     23   0.03    275     18  330.3  330.4  330.3
  242.9  10058  -50.3  -62.8     21   0.03    285     17  333.9  334.1  333.9
  231.8  10363  -49.2  -62.7     19   0.04    280     22  340.0  340.1  340.0
  221.2  10668  -48.2  -62.6     17   0.04    305     19  346.1  346.3  346.1
  214.0  10885  -47.5  -62.5     16   0.04    294     18  350.6  350.7  350.6
  206.0  11136  -48.1  -64.1     14   0.03    282     16  353.4  353.6  353.4
  201.6  11278  -47.8  -64.5     13   0.03    275     15  356.1  356.2  356.1
  200.0  11330  -47.7  -64.7     12   0.03    275     17  357.1  357.2  357.1
  186.0  11809  -47.7  -65.7     11   0.03    288     19  364.6  364.7  364.6
  182.0  11953  -46.9  -65.9     10   0.03    292     20  368.1  368.3  368.1
  167.0  12521  -48.5  -67.5      9   0.03    307     23  374.6  374.8  374.6
  160.0  12804  -47.5  -68.5      7   0.02    315     24  380.9  381.0  380.9
  160.0  12802  -47.5  -68.5      7   0.02    315     24  380.9  381.0  380.9
  153.0  13099  -47.5  -68.5      7   0.02    308     18  385.8  385.9  385.8
  150.0  13230  -48.1  -69.1      7   0.02    305     16  387.0  387.1  387.0
  145.0  13453  -48.9  -69.9      7   0.02    307     16  389.4  389.5  389.4
  135.0  13921  -49.3  -70.3      7   0.02    310     17  396.7  396.8  396.7
  125.0  14423  -50.9  -70.9      8   0.02    314     18  402.6  402.7  402.6
  121.0  14635  -49.9  -70.9      7   0.02    315     19  408.2  408.3  408.2
  110.3  15240  -49.3  -71.3      6   0.02    320     20  420.2  420.3  420.2
  110.0  15259  -49.3  -71.3      6   0.02    320     20  420.6  420.7  420.6
  100.0  15880  -51.3  -72.3      6   0.02    310     14  428.3  428.5  428.3
   90.7  16513  -52.7  -72.7      7   0.02    314     17  437.7  437.8  437.7
   70.0  18190  -52.5  -74.5      5   0.02    325     24  471.7  471.9  471.7
   69.3  18255  -52.3  -74.3      5   0.02    328     24  473.5  473.7  473.5
   68.9  18288  -52.4  -74.3      5   0.02    330     24  474.0  474.2  474.0
   57.5  19455  -55.1  -75.1      7   0.03    330     23  493.1  493.3  493.1
   53.9  19869  -53.5  -75.5      5   0.03    330     23  506.0  506.2  506.0
   50.0  20350  -55.5  -75.5      7   0.03    330     23  512.2  512.5  512.3
   48.5  20544  -56.1  -76.1      6   0.03    334     22  515.3  515.5  515.3
   46.8  20772  -54.5  -75.5      6   0.03    339     21  524.4  524.6  524.4
   42.9  21336  -54.5  -75.5      6   0.03    350     18  537.8  538.0  537.8
   41.1  21604  -54.5  -75.5      6   0.03    352     19  544.2  544.5  544.3
   34.8  22665  -56.1  -76.1      6   0.04      1     22  566.6  566.9  566.6
   32.1  23165  -58.4  -77.3      7   0.03      5     23  573.6  573.8  573.6
   30.6  23470  -59.7  -78.0      8   0.03      5     16  577.8  578.1  577.9
   30.0  23600  -60.3  -78.3      8   0.03    325     14  579.7  579.9  579.7
   29.2  23774  -60.9  -78.3      8   0.03    320     16  582.8  583.1  582.8
   28.5  23918  -61.3  -78.3      9   0.03    334     22  585.5  585.7  585.5
   27.8  24079  -60.8  -78.3      8   0.03    350     28  591.2  591.4  591.2
   26.4  24384  -59.9  -78.2      7   0.03    340     29  602.1  602.4  602.1
   25.4  24635  -59.1  -78.1      7   0.04    336     30  611.3  611.6  611.4
   25.2  24689  -59.4  -78.3      7   0.04    335     30  612.1  612.4  612.1
   23.3  25172  -61.7  -79.7      7   0.03    343     37  619.0  619.3  619.0
   20.7  25908  -60.5  -79.2      7   0.04    355     48  644.1  644.4  644.1
   20.0  26120  -60.1  -79.1      7   0.04    350     48  651.5  651.9  651.5
   16.2  27432  -63.8  -81.0      8   0.04    345     43  680.4  680.8  680.4
   14.6  28042  -65.5  -81.9      9   0.03    345     38  694.2  694.5  694.2
   14.0  28312  -66.3  -82.3      9   0.03    332     34  700.4  700.7  700.4
   13.9  28346  -66.3  -82.3      9   0.03    330     33  701.5  701.9  701.5
   12.1  29196  -66.1  -83.1      8   0.03    332     44  730.9  731.2  730.9
   10.3  30175  -68.0  -85.0      7   0.03    335     56  758.5  758.8  758.5
   10.3  30167  -68.1  -85.1      7   0.03    335     56  757.9  758.2  757.9
   10.1  30285  -67.1  -84.1      7   0.03                765.9  766.3  765.9
