72747 INL Int.Falls Observations at 12Z 11 Jan 2008
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     49                                                               
  961.0    361   -7.1   -8.1     93   2.17    270      6  269.1  275.1  269.4
  954.0    418   -6.9   -8.7     87   2.09    264      6  269.9  275.7  270.2
  934.0    583   -7.7   -8.7     93   2.13    248      6  270.7  276.7  271.0
  868.0   1154   -8.7   -9.8     92   2.10    191      4  275.4  281.4  275.7
  850.0   1316   -9.3  -11.0     87   1.95    175      4  276.4  282.0  276.7
  799.0   1793  -11.3  -13.6     83   1.68    189      4  279.2  284.2  279.5
  795.2   1829  -11.6  -13.8     83   1.66    190      4  279.2  284.1  279.5
  763.8   2134  -14.1  -15.9     86   1.45    170      6  279.8  284.1  280.0
  733.8   2438  -16.6  -18.0     89   1.27    175      7  280.3  284.1  280.5
  723.0   2550  -17.5  -18.8     90   1.21    186      7  280.5  284.1  280.7
  717.0   2613  -15.5  -18.2     80   1.28    192      8  283.3  287.2  283.6
  704.8   2743  -15.8  -18.8     78   1.24    205      8  284.4  288.2  284.6
  700.0   2794  -15.9  -19.0     77   1.22    210      8  284.9  288.6  285.1
  676.0   3057  -17.3  -24.3     54   0.80    233      7  286.1  288.7  286.3
  638.0   3487  -21.1  -25.9     65   0.73    270      6  286.6  288.9  286.7
  623.4   3658  -21.5  -31.7     39   0.44    285      6  288.0  289.5  288.1
  608.0   3843  -21.9  -37.9     22   0.24    297      8  289.6  290.5  289.7
  573.7   4267  -24.8  -42.1     18   0.17    325     12  291.1  291.7  291.2
  556.0   4496  -26.3  -44.3     17   0.13    321     13  291.9  292.4  291.9
  550.1   4572  -26.5  -45.2     15   0.12    320     13  292.5  293.0  292.6
  527.3   4877  -27.5  -49.0     11   0.08    320     18  294.9  295.2  294.9
  500.0   5260  -28.7  -53.7      7   0.05    325     25  298.0  298.2  298.0
  455.0   5931  -31.3  -53.3     10   0.06    317     27  302.9  303.1  302.9
  444.4   6096  -32.6  -53.9     10   0.06    315     27  303.3  303.5  303.3
  400.0   6830  -38.5  -56.5     13   0.05    310     25  304.9  305.1  304.9
  392.0   6968  -39.7  -56.7     15   0.05    311     26  305.1  305.2  305.1
  377.0   7234  -42.1  -51.1     37   0.09    313     28  305.3  305.7  305.3
  355.8   7620  -45.5  -52.3     46   0.09    315     30  305.9  306.2  305.9
  339.0   7943  -48.3  -53.3     56   0.08    315     33  306.3  306.6  306.3
  300.0   8740  -52.5  -60.5     37   0.04    315     41  311.2  311.4  311.2
  295.4   8839  -52.8  -61.1     36   0.03    315     41  312.2  312.3  312.2
  283.0   9113  -53.7  -62.7     32   0.03    310     35  314.8  314.9  314.8
  281.6   9144  -53.6  -62.9     31   0.03    305     34  315.4  315.5  315.4
  250.0   9910  -50.3  -67.3     12   0.02    290     28  331.1  331.2  331.2
  244.4  10058  -49.4  -67.5     10   0.02    285     28  334.6  334.7  334.6
  240.0  10178  -48.7  -67.7      9   0.02    286     27  337.4  337.5  337.4
  222.8  10668  -48.6  -69.7      7   0.01    290     25  344.8  344.9  344.8
  212.7  10973  -48.6  -70.9      6   0.01    285     22  349.5  349.5  349.5
  200.0  11380  -48.5  -72.5      5   0.01    290     25  355.8  355.9  355.8
  183.0  11967  -47.5  -72.5      4   0.01    285     30  366.6  366.6  366.6
  168.9  12497  -47.8  -72.8      4   0.01    280     35  374.6  374.6  374.6
  154.0  13106  -48.2  -73.2      4   0.01    295     36  383.9  384.0  383.9
  150.0  13280  -48.3  -73.3      4   0.01    290     36  386.6  386.7  386.6
  111.1  15240  -50.8  -75.1      4   0.01    305     33  416.5  416.6  416.5
  101.2  15850  -51.6  -75.6      4   0.01    305     37  426.3  426.3  426.3
  100.0  15930  -51.7  -75.7      4   0.01    305     37  427.6  427.6  427.6
   96.6  16154  -52.5  -76.5      4   0.01    310     36  430.3  430.4  430.3
   95.7  16213  -52.7  -76.7      4   0.01    310     36  431.0  431.1  431.0
   87.1  16822  -50.9  -74.9      4   0.02    313     35  446.4  446.5  446.4
   74.1  17864  -53.3  -76.3      4   0.02    318     33  462.4  462.5  462.4
   70.0  18230  -52.9  -75.9      5   0.02    320     32  470.9  471.0  470.9
   60.2  19202  -51.7  -75.7      4   0.02    335     30  494.1  494.3  494.1
   60.1  19218  -51.7  -75.7      4   0.02    335     30  494.5  494.7  494.5
   50.0  20400  -56.3  -79.3      4   0.01    330     35  510.4  510.5  510.4
   47.7  20698  -57.7  -79.7      4   0.01    328     36  513.9  514.0  514.0
   43.1  21336  -57.1  -79.3      4   0.02    325     37  530.4  530.5  530.4
   30.0  23640  -54.9  -77.9      4   0.03    340     48  594.4  594.6  594.4
   23.1  25298  -55.6  -79.5      4   0.03      0     40  638.3  638.6  638.3
   22.5  25467  -55.7  -79.7      3   0.03      1     41  642.9  643.2  642.9
   20.0  26210  -57.9  -79.9      4   0.03      5     43  658.2  658.5  658.2
   16.5  27432  -58.8  -80.4      5   0.04      0     49  693.0  693.4  693.0
   13.6  28651  -59.6  -81.0      5   0.04    355     45  729.5  730.0  729.5
   11.1  29914  -60.5  -81.5      5   0.05    348     65  769.4  769.9  769.4
   10.1  30480  -58.8  -80.6      4   0.06    345     74  795.8  796.5  795.9
   10.0  30570  -58.5  -80.5      4   0.06    350     76  800.1  800.9  800.2
    9.7  30785  -59.0  -80.4      5   0.07    350     79  806.1  806.9  806.1
    9.0  31227  -60.1  -80.1      6   0.07    352     81  818.4  819.3  818.5
    7.0  32800  -57.1  -78.1      5   0.13      0     90  891.7  893.4  891.8
    6.4  33372  -55.6  -77.0      5   0.17      0     96  921.3  923.6  921.4
    6.2  33528  -55.2  -76.7      5   0.18      0     93  929.6  932.0  929.7
    6.0  33833  -54.3  -76.1      5   0.21      0     93  945.9  948.7  946.0
    5.6  34224  -53.3  -75.3      5   0.25                967.2  970.6  967.3
